2021-11-30 10:46:17,566 INFO Connecting to 127.0.0.1:7497 with clientId 1...
2021-11-30 10:46:17,567 INFO Connected
2021-11-30 10:46:17,570 INFO Logged on to server version 152
2021-11-30 10:46:17,603 INFO API connection ready
2021-11-30 10:46:39,585 ERROR Error 162, reqId 147: Historical Market Data Service error message:API scanner subscription cancelled: 147
2021-11-30 10:46:40,222 INFO Warning 165, reqId 148: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:40,223 ERROR Error 162, reqId 148: Historical Market Data Service error message:API scanner subscription cancelled: 148
2021-11-30 10:46:40,739 INFO Warning 165, reqId 149: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:40,740 ERROR Error 162, reqId 149: Historical Market Data Service error message:API scanner subscription cancelled: 149
2021-11-30 10:46:41,297 INFO Warning 165, reqId 150: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:41,299 ERROR Error 162, reqId 150: Historical Market Data Service error message:API scanner subscription cancelled: 150
2021-11-30 10:46:41,905 INFO Warning 165, reqId 151: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:41,906 ERROR Error 162, reqId 151: Historical Market Data Service error message:API scanner subscription cancelled: 151
2021-11-30 10:46:42,548 INFO Warning 165, reqId 152: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:42,549 ERROR Error 162, reqId 152: Historical Market Data Service error message:API scanner subscription cancelled: 152
2021-11-30 10:46:43,115 INFO Warning 165, reqId 153: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:43,116 ERROR Error 162, reqId 153: Historical Market Data Service error message:API scanner subscription cancelled: 153
2021-11-30 10:46:43,673 INFO Warning 165, reqId 154: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:43,673 ERROR Error 162, reqId 154: Historical Market Data Service error message:API scanner subscription cancelled: 154
2021-11-30 10:46:44,218 INFO Warning 165, reqId 155: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:44,219 ERROR Error 162, reqId 155: Historical Market Data Service error message:API scanner subscription cancelled: 155
